GEOID,district
55079990000,1
55101990000,1
55089990000,1
55117990000,1
55061990000,1
55071990000,1
55029990000,1
55029100100,1
55055101201,2
55055101202,2
55025012100,2
55025012201,2
55025012300,2
55025012202,2
55107960200,3
55113100400,3
55107960400,3
55107960300,3
55005001002,3
55033970100,3
55005001001,3
55079005600,4
55079090800,4
55079090200,4
55079090300,4
55133200600,4
55079000400,4
55133200700,4
55133200901,4
55101002100,5
55101980000,5
55101001900,5
55101001802,5
55101002002,5
55101002701,5
55101002001,5
55133202002,5
55027961200,6
55027960200,6
55027961100,6
55027960400,6
55039041700,6
55027961700,2
55027961800,6
55087013300,7
55087012400,7
55087012901,7
55087013100,7
55087940000,7
55009020504,7
55009020503,7
55081950700,8
55081950600,8
55081950200,8
55081950100,8
55053960400,8
55053960500,8
55063010101,8
55081950300,8
55031990000,3
55007990000,3
55003990000,3
55051990000,3
55003950600,3
55051180200,3
55051180100,3
55029100400,1
55029100300,1
55083990000,1
55075990000,1
55075961500,1
55079012300,4
55079013300,4
55079186400,4
55079186800,4
55079012200,4
55079013600,4
55079011400,1
55079010600,1
55079014100,1
55079186000,1
55079186200,4
55079185900,4
55079185800,4
55079185400,4
55079018000,1
55079980000,1
55079186900,1
55079018500,1
55079021100,1
55079186600,1
55079018400,1
55079008500,1
55079008400,1
55079008700,4
55079008600,1
55079009900,4
55079009800,4
55079008900,4
55079008800,4
55069960300,3
55069960500,3
55069960200,3
55085970500,3
55085971001,3
55069960400,3
55099970600,3
55079185500,1
55079185600,1
55079006700,1
55079185700,1
55079008100,1
55079008000,1
55079007000,1
55079003600,4
55079003800,4
55079004000,4
55079002700,4
55079002800,4
55079002600,4
55025991702,6
55025010200,6
55025010100,6
55025000100,6
55025000408,6
55025000201,6
55025000300,6
55113100700,3
55113100800,3
55099970400,3
55099970500,3
55107960500,3
55107960100,3
55079014600,4
55079186300,1
55079014700,4
55079186100,4
55079014800,4
55079011000,1
55079011300,1
55079011100,1
55079010700,1
55079011200,1
55079007900,1
55079007100,1
55059990000,1
55059001000,5
55059001900,5
55059001800,5
55059002200,5
55059002100,5
55079005200,4
55079005300,4
55079003400,4
55079005400,4
55079005500,4
55009001000,7
55009000800,7
55009001100,7
55009001200,7
55009020800,7
55009020900,7
